Topic,Count,Name,Representation,Representative_Docs
-1,39,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']"
0,61,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']"
1,37,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']"
