2025-10-14 21:34:52,063 | INFO | [Spotify] Skipping audio features (--skip-audio).
2025-10-14 21:35:24,450 | INFO | [Genius] No acceptable lyrics for: JAY-Z - Love All (with JAY-Z) (query='Love All (with JAY')
2025-10-14 21:38:02,257 | INFO | [Genius] No acceptable lyrics for: Kendrick Lamar - LOVE. FEAT. ZACARI. (query='LOVE. FEAT. ZACARI.')
2025-10-14 21:40:44,301 | INFO | [Genius] No acceptable lyrics for: Outkast - Da Art of Storytellin' (Pt. 1) (query='Da Art of Storytellin' (Pt. 1)')
2025-10-14 21:42:59,907 | INFO | [Genius] No acceptable lyrics for: The Notorious B.I.G. - Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster (query='Mo Money Mo Problems')
2025-10-14 21:43:19,861 | INFO | [Genius] No acceptable lyrics for: The Notorious B.I.G. - Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster (query='Get Money')
2025-10-14 21:43:21,214 | INFO | [Genius] No acceptable lyrics for: Tupac - Going Live - Tupac Remix (query='Going Live')
2025-10-14 21:45:34,813 | INFO | [Genius] No acceptable lyrics for: Gunna - Drip Too Hard (Lil Baby & Gunna) (query='Drip Too Hard (Lil Baby & Gunna)')
2025-10-14 21:46:28,909 | INFO | [Genius] No acceptable lyrics for: Cardi B - Finesse - Remix; feat. Cardi B (query='Finesse')
2025-10-14 21:47:04,370 | INFO | [Genius] No acceptable lyrics for: Latto - ErrTime (feat. Latto) [Remix] (query='ErrTime')
2025-10-14 21:47:37,334 | INFO | [Genius] No acceptable lyrics for: Megan Thee Stallion - On Me - Remix (query='On Me')
2025-10-14 21:47:53,779 | INFO | [Genius] No acceptable lyrics for: Rick Ross - Money In The Grave (Drake ft. Rick Ross) (query='Money In The Grave (Drake ft. Rick Ross)')
2025-10-14 21:48:07,681 | INFO | [Genius] No acceptable lyrics for: Rick Ross - Hustlin' (query='Hustlin'')
2025-10-14 21:48:17,686 | INFO | [Genius] No acceptable lyrics for: Rick Ross - You Only Live Twice (with Lil Wayne & Rick Ross) (query='You Only Live Twice')
2025-10-14 21:54:22,073 | INFO | Use pytorch device_name: cpu
2025-10-14 21:54:22,073 | INFO | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-10-14 21:54:43,650 | INFO | Saved curated parquet -> C:\Users\kkbua\OneDrive\Documents\GitHub\flowtrendz\data\curated\songs_curated.parquet
2025-10-14 22:48:10,778 | INFO | Loaded 25 artists from artists.yaml
2025-10-14 22:48:10,779 | INFO | [Spotify] Top tracks for: Jay-Z
2025-10-14 22:48:12,603 | INFO | [Spotify] Top tracks for: Nas
2025-10-14 22:48:13,458 | INFO | [Spotify] Top tracks for: Kanye West
2025-10-14 22:48:14,111 | INFO | [Spotify] Top tracks for: Drake
2025-10-14 22:48:14,836 | INFO | [Spotify] Top tracks for: Kendrick Lamar
2025-10-14 22:48:15,556 | INFO | [Spotify] Top tracks for: Nicki Minaj
2025-10-14 22:48:16,369 | INFO | [Spotify] Top tracks for: J. Cole
2025-10-14 22:48:17,205 | INFO | [Spotify] Top tracks for: Lil Wayne
2025-10-14 22:48:18,227 | INFO | [Spotify] Top tracks for: Outkast
2025-10-14 22:48:19,341 | INFO | [Spotify] Top tracks for: Travis Scott
2025-10-14 22:48:20,390 | INFO | [Spotify] Top tracks for: A Tribe Called Quest
2025-10-14 22:48:21,160 | INFO | [Spotify] Top tracks for: The Notorious B.I.G.
2025-10-14 22:48:21,900 | INFO | [Spotify] Top tracks for: Tupac Shakur
2025-10-14 22:48:22,620 | INFO | [Spotify] Top tracks for: Future
2025-10-14 22:48:23,538 | INFO | [Spotify] Top tracks for: Doja Cat
2025-10-14 22:48:24,456 | INFO | [Spotify] Top tracks for: Yeat
2025-10-14 22:48:25,335 | INFO | [Spotify] Top tracks for: Juice WRLD
2025-10-14 22:48:26,200 | INFO | [Spotify] Top tracks for: Gunna
2025-10-14 22:48:27,122 | INFO | [Spotify] Top tracks for: Cardi B
2025-10-14 22:48:28,145 | INFO | [Spotify] Top tracks for: Rapsody
2025-10-14 22:48:29,287 | INFO | [Spotify] Top tracks for: Latto
2025-10-14 22:48:29,986 | INFO | [Spotify] Top tracks for: Megan Thee Stallion
